Linked Issue Type,Issue Sub-Type,Issue key,Issue Tasks,Assignee,Reporter,Created,Resolved,Priority,Status,Downtime started,Category,Downtime,Downtime Ended,Days,Resolved Hours,Downtime Hours,Cost Impact,Downtime Percentage,City,Region,Country,Linked Remedy
Incident,Incident,TEI-1,TEI Incident,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 10:00,20-10-2022 17:15,Medium,Resolved,12-10-2022 17:15,Application,Yes,20-10-2022 17:15,8,192,3,₹ 360,2,London,Europe & Eurasia,United Kingdom,INC000023504562
Incident,Task,TEI-2,TEI Project,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 11:10,20-10-2022 17:15,Medium,Resolved,12-10-2022 17:15,Hardware,Yes,20-10-2022 17:15,8,192,6,₹ 720,3,Jaipur,Asia Pacific,India,INC000023502466
Incident,Employee,JML-1,Joiner,DIVYA SUSAN KURIAN,DIVYA SUSAN KURIAN,12-10-2022 11:12,19-10-2022 11:10,Medium,Done,12-10-2022 11:10,Hardware,Yes,19-10-2022 11:10,7,168,40,"₹ 4,800",31,Pune,Asia Pacific,India,INC000023494583
Incident,Employee,JML-2,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,12-10-2022 11:12,14-10-2022 11:10,Low,Done,12-10-2022 11:10,Hardware,Yes,14-10-2022 11:10,2,48,3,₹ 360,7,Kochi,Asia Pacific,India,INC000023570367
Incident,Employee,JML-3,Mover,DIVYA SUSAN KURIAN,DIVYA SUSAN KURIAN,12-10-2022 11:12,19-10-2022 11:12,Medium,Done,12-10-2022 11:12,Hardware,Yes,19-10-2022 11:12,7,168,40,"₹ 4,800",31,Chennai,Asia Pacific,India,INC000023494581
Incident,Epic,TEI-3,TEI Story,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 17:11,20-10-2022 17:15,Medium,Resolved,12-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,8,192,5,₹ 600,3,Kochi,Asia Pacific,India,INC000023501132
Incident,Employee,JML-4,Leaver,DIVYA SUSAN KURIAN,DIVYA SUSAN KURIAN,12-10-2022 17:15,19-10-2022 17:15,Medium,Done,12-10-2022 17:15,Hardware,Yes,19-10-2022 17:15,7,168,40,"₹ 4,800",31,London,Europe & Eurasia,United Kingdom,INC000023494344
Incident,Incident,TEI-4,TEI Incident,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,12-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,8,192,14,"₹ 1,680",8,Chennai,Asia Pacific,India,INC000023501039
Incident,Incident,TEI-5,TEI Incident,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,12-10-2022 17:15,Hardware,Yes,20-10-2022 17:15,8,192,20,"₹ 2,400",12,Chennai,Asia Pacific,India,INC000023500995
Incident,Incident,TEI-7,TEI Incident,Duggisetty Greeshma,Divya Kurian,12-10-2022 17:15,20-10-2022 17:15,Low,Resolved,12-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,8,192,5,₹ 600,3,Pune,Asia Pacific,India,INC000023505229
Incident,Incident,TEI-8,TEI Incident,Ambati Udaychander,Divya Kurian,12-10-2022 17:15,20-10-2022 17:15,Low,Resolved,12-10-2022 17:15,Application,Yes,20-10-2022 17:15,8,192,8,₹ 960,4,London,Europe & Eurasia,United Kingdom,INC000023505738
Incident,Employee,JML-5,Leaver,DIVYA SUSAN KURIAN,DIVYA SUSAN KURIAN,12-10-2022 17:35,19-10-2022 17:35,Medium,Done,12-10-2022 17:35,Hardware,Yes,19-10-2022 17:35,7,168,40,"₹ 4,800",31,Chennai,Asia Pacific,India,INC000023497952
Incident,Employee,JML-6,Mover,DIVYA SUSAN KURIAN,DIVYA SUSAN KURIAN,12-10-2022 17:45,19-10-2022 17:45,Medium,Done,12-10-2022 17:45,Hardware,Yes,19-10-2022 17:45,7,168,40,"₹ 4,800",31,London,Europe & Eurasia,United Kingdom,INC000023499826
Incident,Incident,TEI-6,TEI Incident,DIVYA SUSAN KURIAN,Divya Kurian,12-10-2022 17:55,27-10-2022 22:48,Medium,Resolved,12-10-2022 17:55,Configuration,Yes,27-10-2022 22:48,15.20347222,364.8833333,21,"₹ 2,520",6,Chennai,Asia Pacific,India,INC000023500936
Incident,Employee,JML-7,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,13-10-2022 11:10,15-10-2022 11:10,Low,Done,13-10-2022 11:10,Network,Yes,15-10-2022 11:10,2,48,3,₹ 360,7,Kochi,Asia Pacific,India,INC000023570620
